No,n,n^2,n!,h,w,ln(w.n!),ln^2(w.n!),n.ln(w.n!)
1,0,0,1,75,0.15,-1.897119985,3.599064237,0
2,1,1,1,132,0.264,-1.331806176,1.77370769,-1.331806176
3,2,4,2,147,0.294,-0.531028331,0.281991088,-1.062056662
4,3,9,6,93,0.186,0.109750864,0.012045252,0.329252592
5,4,16,24,29,0.058,0.330741562,0.109389981,1.322966248
6,5,25,120,19,0.038,1.517322624,2.302267944,7.586613118
7,6,36,720,4,0.008,1.750937475,3.06578204,10.50562485
8,8,64,40320,1,0.002,4.389994804,19.27205438,35.11995843
Sum,29,155,41194,500,1,4.338792837,30.41630261,52.4705524
