n,n^2,n!,h,w,ln(w.n!)
0,0,1,75,0.15,-1.897119985
1,1,1,132,0.264,-1.331806176
2,4,2,147,0.294,-0.531028331
3,9,6,93,0.186,0.109750864
4,16,24,29,0.058,0.330741562
5,25,120,19,0.038,1.517322624
6,36,720,4,0.008,1.750937475
8,64,40320,1,0.002,4.389994804
