n,n^2,n!,h,w,ln(w.n!)
0,0,1,129,0.258,-1.354795694
1,1,1,169,0.338,-1.084709383
2,4,2,127,0.254,-0.677273831
3,9,6,55,0.11,-0.415515444
4,16,24,12,0.024,-0.551647618
5,25,120,7,0.014,0.518793793
6,36,720,1,0.002,0.364643114
