n,n^2,n!,h,w,ln(w.n!)
0,0,0,2,0.004,-5.521460918
1,1,0,5,0.01,-4.605170186
2,4,0,17,0.034,-2.688247574
3,9,0,33,0.066,-0.926341068
4,16,0,59,0.118,1.040983176
5,25,0,92,0.184,3.094672221
6,36,0,95,0.19,4.918520005
7,49,0,65,0.13,6.484940533
8,64,0,54,0.108,8.378978851
9,81,0,27,0.054,9.883056248
10,100,0,19,0.038,11.83424345
11,121,0,24,0.048,14.46575358
12,144,0,3,0.006,14.87121869
13,169,0,3,0.006,17.43616804
14,196,0,1,0.002,18.97661308
15,225,0,1,0.002,21.68466329
