n,n^2,n!,h,w,ln(w.n!)
0,0,1,85,0.17,-1.771956842
1,1,1,155,0.31,-1.171182982
2,4,2,136,0.272,-0.608806032
3,9,6,77,0.154,-0.079043207
4,16,24,31,0.062,0.397432936
5,25,120,10,0.02,0.875468737
6,36,720,5,0.01,1.974081026
7,49,5040,1,0.002,2.310553263
